category,ordinal,month,year,rateaccount,property,sgid,type,streetnumber,streetname,suburb,account,install,device,uomdesc,uom,readings,afterrandvalue,randvalue,
LPU-Demand  | LV,60,June,2019,206590184,Portion 6 of ERF 818 of KEW,T0IR0361000000008180000600,Non Residential,15,TENTH ROAD,KEW,206590184,3003572427,93750761,KWH,2,14090,9250,0
LPU-Demand  | LV,61,June,2019,206682290,ERF 210 of PARKTOWN,T0IR0502000000002100000000,Non Residential,10,SHERBORNE ROAD,PARKTOWN,206682290,3002669067,63054757,KVA,1,70,13104,0
LPU-Demand  | LV,62,June,2019,206682290,ERF 210 of PARKTOWN,T0IR0502000000002100000000,Non Residential,10,SHERBORNE ROAD,PARKTOWN,206682290,3002669067,63054757,KWH,2,29484,19356,0
LPU-Demand  | LV,63,June,2019,206735217,REM of ERF 262 of OAKLANDS,T0IR04870000000026200000RE,Registered Parcel,39,VICTORIA STREET,OAKLANDS,206735217,3003244652,63055020,KVA,1,161,30177,0
LPU-Demand  | LV,64,June,2019,206735217,REM of ERF 262 of OAKLANDS,T0IR04870000000026200000RE,Registered Parcel,39,VICTORIA STREET,OAKLANDS,206735217,3003244652,63055020,KWH,2,117720,77283,0
LPU-Demand  | LV,65,June,2019,206735217,REM of ERF 262 of OAKLANDS,T0IR04870000000026200000RE,Registered Parcel,39,VICTORIA STREET,OAKLANDS,206735217,3003244652,63055020,KRH,3,12941,2540,0
LPU-Demand  | MV,66,June,2019,207623107,ERF 376 of BRAMLEY,T0IR0099000000003760000000,Non Residential,618,LOUIS BOTHA AVENUE,BRAMLEY,206798150,3003565693,80395878,KVA,1,131,22961,0
LPU-Demand  | MV,67,June,2019,207623107,ERF 376 of BRAMLEY,T0IR0099000000003760000000,Non Residential,618,LOUIS BOTHA AVENUE,BRAMLEY,206798150,3003565693,80395878,KWH,2,58680,36079,0
LPU-Demand  | LV,68,June,2019,206872534,Portion 1 of ERF 502 of ILLOVO,T0IR0326000000005020000100,Non Residential,18,FRICKER ROAD,ILLOVO,206872534,3003521140,80395806,KVA,1,155,29076,0
LPU-Demand  | LV,69,June,2019,206872534,Portion 1 of ERF 502 of ILLOVO,T0IR0326000000005020000100,Non Residential,18,FRICKER ROAD,ILLOVO,206872534,3003521140,80395806,KWH,2,45834,30090,0
LPU-Demand  | LV,70,June,2019,206898613,ERF 547 of PARKTOWN,T0IR0502000000005470000000,Non Residential,11,WELLINGTON ROAD,PARKTOWN,206898613,3002672312,63028779,KVA,1,201,37701,0
LPU-Demand  | LV,71,June,2019,206898613,ERF 547 of PARKTOWN,T0IR0502000000005470000000,Non Residential,11,WELLINGTON ROAD,PARKTOWN,206898613,3002672312,63028779,KWH,2,92474,60709,0
LPU-Demand  | LV,72,June,2019,206910250,ERF 107 of BRAMLEY,T0IR0099000000001070000000,Non Residential,593,LOUIS BOTHA AVENUE,BRAMLEY,206910250,3002676321,98452674,KVA,1,70,13104,0
LPU-Demand  | LV,73,June,2019,206910250,ERF 107 of BRAMLEY,T0IR0099000000001070000000,Non Residential,593,LOUIS BOTHA AVENUE,BRAMLEY,206910250,3002676321,98452674,KWH,2,11336,7442,0
LPU-Demand  | LV,74,June,2019,206910250,ERF 107 of BRAMLEY,T0IR0099000000001070000000,Non Residential,593,LOUIS BOTHA AVENUE,BRAMLEY,206910250,3002676321,98452674,KRH,3,82,16,0
LPU-Demand  | LV,75,June,2019,207131874,ERF 53 of RAEDENE ESTATE,T0IR0536000000000530000000,Non Residential,3,* *,RAEDENE ESTATE,206924214,3003298728,93935296,KVA,1,80,15148,0
LPU-Demand  | LV,76,June,2019,207131874,ERF 53 of RAEDENE ESTATE,T0IR0536000000000530000000,Non Residential,3,* *,RAEDENE ESTATE,206924214,3003298728,93935296,KWH,2,55122,36188,0
LPU-Demand  | LV,77,June,2019,206968370,ERF 130 of DOORNFONTEIN,T0IR0186000000001300000000,Non Residential,8,DAVIES STREET,DOORNFONTEIN,206968370,3003380526,63018130,KVA,1,70,13104,0
LPU-Demand  | LV,78,June,2019,206968370,ERF 130 of DOORNFONTEIN,T0IR0186000000001300000000,Non Residential,8,DAVIES STREET,DOORNFONTEIN,206968370,3003380526,63018130,KWH,2,317,213,0
LPU-Demand  | LV,79,June,2019,207121160,Portion 1 of ERF 205 of ROSEBANK,T0IR0574000000002050000100,Non Residential,28,STURDEE AVENUE,ROSEBANK,207121160,3003354946,63024785,KVA,1,80,15013,0
LPU-Demand  | LV,80,June,2019,207121160,Portion 1 of ERF 205 of ROSEBANK,T0IR0574000000002050000100,Non Residential,28,STURDEE AVENUE,ROSEBANK,207121160,3003354946,63024785,KWH,2,50838,33375,0
