category,ordinal,month,year,rateaccount,property,sgid,type,streetnumber,streetname,suburb,account,install,device,uomdesc,uom,readings,afterrandvalue,randvalue,
LPU-Demand  | LV,750,June,2019,501351634,ERF 4800 of JOHANNESBURG,T0IQ0183000000048000000000,Non Residential,106,PRITCHARD STREET,JOHANNESBURG,220032544,3002670674,63029309,KWH,2,39484,25921,0
LPU-Demand  | LV,751,June,2019,501312466,ERF 128 of LAKE VIEW ESTATE,T0IR0380000000001280000000,Non Residential,29,ST GEORGE STREET,LAKE VIEW ESTATE,220032706,3002673768,98368194,KVA,1,70,13104,0
LPU-Demand  | LV,752,June,2019,501312466,ERF 128 of LAKE VIEW ESTATE,T0IR0380000000001280000000,Non Residential,29,ST GEORGE STREET,LAKE VIEW ESTATE,220032706,3002673768,98368194,KWH,2,37988,24939,0
LPU-Demand  | LV,753,June,2019,501356600,ERF 66 of OPHIRTON,T0IR0491000000000660000000,Non Residential,31,MEWETT STREET,OPHIRTON,220032833,3002667586,93936420,KVA,1,134,25199,0
LPU-Demand  | LV,754,June,2019,501356600,ERF 66 of OPHIRTON,T0IR0491000000000660000000,Non Residential,31,MEWETT STREET,OPHIRTON,220032833,3002667586,93936420,KWH,2,53518,35135,0
LPU-Demand  | LV,755,June,2019,501356600,ERF 66 of OPHIRTON,T0IR0491000000000660000000,Non Residential,31,MEWETT STREET,OPHIRTON,220032833,3002667586,93936420,KRH,3,7621,1496,0
LPU-Demand  | LV,756,June,2019,501389807,ERF 174 of OPHIRTON,T0IR0491000000001740000000,Non Residential,85,HAY STREET,OPHIRTON,220032872,3002667618,93750769,KVA,1,372,69790,0
LPU-Demand  | LV,757,June,2019,501389807,ERF 174 of OPHIRTON,T0IR0491000000001740000000,Non Residential,85,HAY STREET,OPHIRTON,220032872,3002667618,93750769,KWH,2,151996,99785,0
LPU-Demand  | LV,758,June,2019,501352035,ERF 241 of OPHIRTON,T0IR0491000000002410000000,Non Residential,77,EARP STREET,OPHIRTON,220032939,3002676461,80395464,KVA,1,1196,223891,0
LPU-Demand  | LV,759,June,2019,501352035,ERF 241 of OPHIRTON,T0IR0491000000002410000000,Non Residential,77,EARP STREET,OPHIRTON,220032939,3002676461,80395464,KWH,2,1128000,740532,0
LPU-Demand  | LV,760,June,2019,501352035,ERF 241 of OPHIRTON,T0IR0491000000002410000000,Non Residential,77,EARP STREET,OPHIRTON,220032939,3002676461,80395464,KRH,3,205800,40399,0
LPU-Demand  | LV,761,June,2019,501314872,ERF 387 of OPHIRTON,T0IR0491000000003870000000,Non Residential,69,KIMBERLEY-BOOYSENS ROAD,OPHIRTON,220033072,3002676469,63055033,KVA,1,70,13104,0
LPU-Demand  | LV,762,June,2019,501314872,ERF 387 of OPHIRTON,T0IR0491000000003870000000,Non Residential,69,KIMBERLEY-BOOYSENS ROAD,OPHIRTON,220033072,3002676469,63055033,KWH,2,22650,14870,0
LPU-Demand  | LV,763,June,2019,503721873,ERF 548 of OPHIRTON,T0IR0491000000005480000000,Non Residential,23,MEWETT STREET,OPHIRTON,220033160,3002671629,96948174,KVA,1,518,96970,0
LPU-Demand  | LV,764,June,2019,503721873,ERF 548 of OPHIRTON,T0IR0491000000005480000000,Non Residential,23,MEWETT STREET,OPHIRTON,220033160,3002671629,96948174,KWH,2,71022,46626,0
LPU-Demand  | LV,765,June,2019,503721873,ERF 548 of OPHIRTON,T0IR0491000000005480000000,Non Residential,23,MEWETT STREET,OPHIRTON,220033160,3002671629,96948174,KRH,3,13904,2729,0
LPU-Demand  | LV,766,June,2019,501314985,ERF 557 of OPHIRTON,T0IR0491000000005570000000,Non Residential,85,KIMBERLEY-BOOYSENS ROAD,OPHIRTON,220033185,3002671661,93750735,KVA,1,70,13104,0
LPU-Demand  | LV,767,June,2019,501314985,ERF 557 of OPHIRTON,T0IR0491000000005570000000,Non Residential,85,KIMBERLEY-BOOYSENS ROAD,OPHIRTON,220033185,3002671661,93750735,KWH,2,16600,10898,0
LPU-Demand  | LV,768,June,2019,501314985,ERF 557 of OPHIRTON,T0IR0491000000005570000000,Non Residential,85,KIMBERLEY-BOOYSENS ROAD,OPHIRTON,220033185,3002671661,93750735,KRH,3,2400,471,0
LPU-Demand  | LV,769,June,2019,501378731,Portion 3 of ERF 324 of RANDSKOU 324-IQ,T0IQ0000324000003240000300,PSI,,,NASREC,220033530,3002675367,95681053,KVA,1,70,13104,0
LPU-Demand  | LV,770,June,2019,503886106,Portion 3 of ERF 53 of BOOYSENS,T0IR0759000000000530000300,Non Residential,5,BEAUMONT STREET,BOOYSENS,220033636,3002671410,63035802,KVA,1,70,13104,0
LPU-Demand  | LV,771,June,2019,503886106,Portion 3 of ERF 53 of BOOYSENS,T0IR0759000000000530000300,Non Residential,5,BEAUMONT STREET,BOOYSENS,220033636,3002671410,63035802,KWH,2,24016,15767,0
LPU-Demand  | LV,772,June,2019,503886106,Portion 3 of ERF 53 of BOOYSENS,T0IR0759000000000530000300,Non Residential,5,BEAUMONT STREET,BOOYSENS,220033636,3002671410,63035802,KRH,3,7905,1552,0
LPU-Demand  | LV,773,June,2019,502090632,Portion 1 of ERF 96 of BOOYSENS,T0IR0759000000000960000100,Non Residential,22,MENTZ STREET,BOOYSENS,220033668,3002671434,98371278,KVA,1,113,21154,0
LPU-Demand  | LV,774,June,2019,502090632,Portion 1 of ERF 96 of BOOYSENS,T0IR0759000000000960000100,Non Residential,22,MENTZ STREET,BOOYSENS,220033668,3002671434,98371278,KWH,2,48114,31587,0
LPU-Demand  | LV,775,June,2019,502038463,ERF 101 of BOOYSENS,T0IR0759000000001010000000,Non Residential,2,NELSON ROAD,BOOYSENS,220033675,3002671437,83834553,KVA,1,357,66868,0
LPU-Demand  | LV,776,June,2019,502038463,ERF 101 of BOOYSENS,T0IR0759000000001010000000,Non Residential,2,NELSON ROAD,BOOYSENS,220033675,3002671437,83834553,KWH,2,49218,32312,0
LPU-Demand  | LV,777,June,2019,502038463,ERF 101 of BOOYSENS,T0IR0759000000001010000000,Non Residential,2,NELSON ROAD,BOOYSENS,220033675,3002671437,83834553,KRH,3,8214,1612,0
LPU-Demand  | LV,778,June,2019,502038551,ERF 71 of BOOYSENS RESERVE,T0IR0089000000000710000000,Non Residential,69,FOURTH STREET,BOOYSENS RESERVE,220033844,3002674543,99632793,KVA,1,70,13104,0
LPU-Demand  | LV,779,June,2019,502038551,ERF 71 of BOOYSENS RESERVE,T0IR0089000000000710000000,Non Residential,69,FOURTH STREET,BOOYSENS RESERVE,220033844,3002674543,99632793,KWH,2,13734,9016,0
LPU-Demand  | LV,780,June,2019,502038551,ERF 71 of BOOYSENS RESERVE,T0IR0089000000000710000000,Non Residential,69,FOURTH STREET,BOOYSENS RESERVE,220033844,3002674543,99632793,KRH,3,2300,452,0
TOU | MV,781,June,2019,554729302,ERF 90 of BOOYSENS RESERVE,T0IR0089000000000900000000,Non Residential,83,FOURTH STREET,BOOYSENS RESERVE,220033869,3003088702,98370568,KVA,1,1679,293775,0
TOU | MV,782,June,2019,554729302,ERF 90 of BOOYSENS RESERVE,T0IR0089000000000900000000,Non Residential,83,FOURTH STREET,BOOYSENS RESERVE,220033869,3003088702,98370568,KWH,2,1516991,796612,0
LPU-Demand  | LV,783,June,2019,552335976,ERF 481 of BOOYSENS RESERVE,T0IR0089000000004810000000,Non Residential,35,THIRD STREET,Unknown,220033932,3003534661,63036107,KVA,1,70,13104,0
LPU-Demand  | LV,784,June,2019,552335976,ERF 481 of BOOYSENS RESERVE,T0IR0089000000004810000000,Non Residential,35,THIRD STREET,Unknown,220033932,3003534661,63036107,KWH,2,22974,15082,0
LPU-Demand  | LV,785,June,2019,502038632,ERF 153 of BOOYSENS RESERVE,T0IR0089000000001530000000,Non Residential,66,FOURTH STREET,BOOYSENS RESERVE,220033964,3002654223,98453358,KVA,1,70,13104,0
LPU-Demand  | LV,786,June,2019,502038632,ERF 153 of BOOYSENS RESERVE,T0IR0089000000001530000000,Non Residential,66,FOURTH STREET,BOOYSENS RESERVE,220033964,3002654223,98453358,KWH,2,6676,4383,0
LPU-Demand  | LV,787,June,2019,502038632,ERF 153 of BOOYSENS RESERVE,T0IR0089000000001530000000,Non Residential,66,FOURTH STREET,BOOYSENS RESERVE,220033964,3002654223,98453358,KRH,3,120,24,0
LPU-Demand  | LV,788,June,2019,502076740,ERF 246 of BOOYSENS RESERVE,T0IR0089000000002460000000,Non Residential,60,THIRD STREET,BOOYSENS RESERVE,220034083,3002668328,63031692,KVA,1,70,13104,0
LPU-Demand  | LV,789,June,2019,502076740,ERF 246 of BOOYSENS RESERVE,T0IR0089000000002460000000,Non Residential,60,THIRD STREET,BOOYSENS RESERVE,220034083,3002668328,63031692,KWH,2,18216,11959,0
LPU-Demand  | LV,790,June,2019,502076740,ERF 246 of BOOYSENS RESERVE,T0IR0089000000002460000000,Non Residential,60,THIRD STREET,BOOYSENS RESERVE,220034083,3002668328,63031692,KRH,3,24,5,0
LPU-Demand  | LV,791,June,2019,502038762,ERF 282 of BOOYSENS RESERVE,T0IR0089000000002820000000,Non Residential,83,SECOND STREET,BOOYSENS RESERVE,220034132,3002668363,63035999,KVA,1,117,21977,0
LPU-Demand  | LV,792,June,2019,502038762,ERF 282 of BOOYSENS RESERVE,T0IR0089000000002820000000,Non Residential,83,SECOND STREET,BOOYSENS RESERVE,220034132,3002668363,63035999,KWH,2,29738,19523,0
LPU-Demand  | LV,793,June,2019,502038784,ERF 310 of BOOYSENS RESERVE,T0IR0089000000003100000000,Non Residential,32,SECOND STREET,BOOYSENS RESERVE,220034171,3002668390,63031920,KVA,1,91,17073,0
LPU-Demand  | LV,794,June,2019,502038784,ERF 310 of BOOYSENS RESERVE,T0IR0089000000003100000000,Non Residential,32,SECOND STREET,BOOYSENS RESERVE,220034171,3002668390,63031920,KWH,2,18212,11956,0
LPU-Demand  | LV,795,June,2019,502038784,ERF 310 of BOOYSENS RESERVE,T0IR0089000000003100000000,Non Residential,32,SECOND STREET,BOOYSENS RESERVE,220034171,3002668390,63031920,KRH,3,6200,1217,0
LPU-Demand  | LV,796,June,2019,504708988,ERF 325 of BOOYSENS RESERVE,T0IR0089000000003250000000,Non Residential,50,SECOND STREET,BOOYSENS RESERVE,220034189,3002668398,63028854,KVA,1,100,18720,0
LPU-Demand  | LV,797,June,2019,504708988,ERF 325 of BOOYSENS RESERVE,T0IR0089000000003250000000,Non Residential,50,SECOND STREET,BOOYSENS RESERVE,220034189,3002668398,63028854,KWH,2,16510,10839,0
LPU-Demand  | LV,798,June,2019,504538824,ERF 332 of BOOYSENS RESERVE,T0IR0089000000003320000000,Non Residential,70,SECOND STREET,BOOYSENS RESERVE,220034206,3002668422,63031731,KVA,1,100,18830,0
LPU-Demand  | LV,799,June,2019,504538824,ERF 332 of BOOYSENS RESERVE,T0IR0089000000003320000000,Non Residential,70,SECOND STREET,BOOYSENS RESERVE,220034206,3002668422,63031731,KWH,2,8752,5746,0
LPU-Demand  | LV,800,June,2019,504538824,ERF 332 of BOOYSENS RESERVE,T0IR0089000000003320000000,Non Residential,70,SECOND STREET,BOOYSENS RESERVE,220034206,3002668422,63031731,KRH,3,2078,408,0
LPU-Demand  | LV,801,June,2019,500099277,ERF 442 of BOOYSENS RESERVE,T0IR0089000000004420000000,Non Residential,101,FOURTH STREET,BOOYSENS RESERVE,220034277,3003327831,63054885,KVA,1,110,20702,0
LPU-Demand  | LV,802,June,2019,500099277,ERF 442 of BOOYSENS RESERVE,T0IR0089000000004420000000,Non Residential,101,FOURTH STREET,BOOYSENS RESERVE,220034277,3003327831,63054885,KWH,2,20946,13751,0
LPU-Demand  | LV,803,June,2019,505700572,ERF 26 of FRAMTON,T0IQ0131000000000260000000,Non Residential,92,FIRST STREET,BOOYSENS RESERVE,220034502,3002672223,83834731,KVA,1,880,164736,0
LPU-Demand  | LV,804,June,2019,503888022,ERF 830 of JOHANNESBURG,T0IQ0183000000008300000000,Non Residential,45,PRITCHARD STREET,JOHANNESBURG,220034679,3002667193,207701271,KVA,1,70,13104,0
LPU-Demand  | LV,805,June,2019,503888022,ERF 830 of JOHANNESBURG,T0IQ0183000000008300000000,Non Residential,45,PRITCHARD STREET,JOHANNESBURG,220034679,3002667193,207701271,KWH,2,21266,13961,0
LPU-Demand  | LV,806,June,2019,502075472,ERF 855 of JOHANNESBURG,T0IQ0183000000008550000000,Non Residential,50,JOUBERT STREET,JOHANNESBURG,220034703,3002667204,63029984,KVA,1,70,13104,0
LPU-Demand  | LV,807,June,2019,502075472,ERF 855 of JOHANNESBURG,T0IQ0183000000008550000000,Non Residential,50,JOUBERT STREET,JOHANNESBURG,220034703,3002667204,63029984,KWH,2,9612,6310,0
LPU-Demand  | LV,808,June,2019,505772753,ERF 4636 of JOHANNESBURG,T0IQ0183000000046360000000,Non Residential,16,FRASER STREET,JOHANNESBURG,220034799,3002667238,80395353,KVA,1,613,114754,0
LPU-Demand  | LV,809,June,2019,505772753,ERF 4636 of JOHANNESBURG,T0IQ0183000000046360000000,Non Residential,16,FRASER STREET,JOHANNESBURG,220034799,3002667238,80395353,KWH,2,434670,285361,0
LPU-Demand  | LV,810,June,2019,502053535,ERF 26 of OPHIRTON,T0IR0491000000000260000000,Non Residential,139,BOOYSENS ROAD,OPHIRTON,220034943,3002631109,84368323,KVA,1,133,24898,0
LPU-Demand  | LV,811,June,2019,502053535,ERF 26 of OPHIRTON,T0IR0491000000000260000000,Non Residential,139,BOOYSENS ROAD,OPHIRTON,220034943,3002631109,84368323,KWH,2,419421,280977,0
LPU-Demand  | LV,812,June,2019,502053535,ERF 26 of OPHIRTON,T0IR0491000000000260000000,Non Residential,139,BOOYSENS ROAD,OPHIRTON,220034943,3002631109,84368323,KRH,3,6986,1371,0
LPU-Demand  | LV,813,June,2019,502092703,Portion 6 of ERF 98 of BOOYSEN ESTATE 98-IR,T0IR0000098000000980000600,Non Residential,55,HERONMERE ROAD,BOOYSENS,220035200,3003520003,83834493,KVA,1,201,37683,0
LPU-Demand  | LV,814,June,2019,502092703,Portion 6 of ERF 98 of BOOYSEN ESTATE 98-IR,T0IR0000098000000980000600,Non Residential,55,HERONMERE ROAD,BOOYSENS,220035200,3003520003,83834493,KWH,2,66000,43329,0
LPU-Demand  | LV,815,June,2019,502150313,ERF 121 of BOOYSENS,T0IR0759000000001210000000,Non Residential,23,WEPENER STREET,BOOYSENS,220042574,3002671633,83834817,KVA,1,239,44797,0
LPU-Demand  | LV,816,June,2019,502150313,ERF 121 of BOOYSENS,T0IR0759000000001210000000,Non Residential,23,WEPENER STREET,BOOYSENS,220042574,3002671633,83834817,KWH,2,48094,31574,0
LPU-Demand  | LV,817,June,2019,502150313,ERF 121 of BOOYSENS,T0IR0759000000001210000000,Non Residential,23,WEPENER STREET,BOOYSENS,220042574,3002671633,83834817,KRH,3,8143,1598,0
LPU-Demand  | LV,818,June,2019,502109636,Portion 2 of ERF 125 of BOOYSENS,T0IR0759000000001250000200,Non Residential,55,BOOYSENS ROAD,BOOYSENS,220042581,3002671644,99633079,KVA,1,73,13828,0
LPU-Demand  | LV,819,June,2019,502109636,Portion 2 of ERF 125 of BOOYSENS,T0IR0759000000001250000200,Non Residential,55,BOOYSENS ROAD,BOOYSENS,220042581,3002671644,99633079,KWH,2,22636,14861,0
LPU-Demand  | LV,820,June,2019,502109650,ERF 130 of BOOYSENS,T0IR0759000000001300000000,Non Residential,33,WEPENER STREET,BOOYSENS,220042616,3002671676,63038344,KVA,1,177,33172,0
LPU-Demand  | LV,821,June,2019,502109650,ERF 130 of BOOYSENS,T0IR0759000000001300000000,Non Residential,33,WEPENER STREET,BOOYSENS,220042616,3002671676,63038344,KWH,2,57402,37684,0
LPU-Demand  | LV,822,June,2019,502109675,ERF 136 of BOOYSENS,T0IR0759000000001360000000,Non Residential,22,LANGFORD STREET,BOOYSENS,220042648,3002674698,99633076,KVA,1,73,13666,0
LPU-Demand  | LV,823,June,2019,502109675,ERF 136 of BOOYSENS,T0IR0759000000001360000000,Non Residential,22,LANGFORD STREET,BOOYSENS,220042648,3002674698,99633076,KWH,2,15060,9887,0
LPU-Demand  | LV,824,June,2019,502109675,ERF 136 of BOOYSENS,T0IR0759000000001360000000,Non Residential,22,LANGFORD STREET,BOOYSENS,220042655,3002674701,63021365,KVA,1,151,28323,0
LPU-Demand  | LV,825,June,2019,502109675,ERF 136 of BOOYSENS,T0IR0759000000001360000000,Non Residential,22,LANGFORD STREET,BOOYSENS,220042655,3002674701,63021365,KWH,2,80382,52771,0
LPU-Demand  | LV,826,June,2019,502157661,ERF 152 of BOOYSENS,T0IR0759000000001520000000,Non Residential,19,PALMER STREET,BOOYSENS,220042704,3002674741,98452815,KVA,1,103,19319,0
LPU-Demand  | LV,827,June,2019,502157661,ERF 152 of BOOYSENS,T0IR0759000000001520000000,Non Residential,19,PALMER STREET,BOOYSENS,220042704,3002674741,98452815,KWH,2,62572,41079,0
LPU-Demand  | LV,828,June,2019,502147254,ERF 5161 of JOHANNESBURG,T0IQ0183000000051610000000,Non Residential,75,VON WEILLIGH STREET,JOHANNESBURG,220042969,3002676501,93936789,KVA,1,114,21414,0
LPU-Demand  | LV,829,June,2019,502147254,ERF 5161 of JOHANNESBURG,T0IQ0183000000051610000000,Non Residential,75,VON WEILLIGH STREET,JOHANNESBURG,220042969,3002676501,93936789,KWH,2,62196,41666,0
LPU-Demand  | LV,830,June,2019,502147254,ERF 5161 of JOHANNESBURG,T0IQ0183000000051610000000,Non Residential,75,VON WEILLIGH STREET,JOHANNESBURG,220042969,3002676501,93936789,KRH,3,707,139,0
LPU-Demand  | LV,831,June,2019,502147254,ERF 5161 of JOHANNESBURG,T0IQ0183000000051610000000,Non Residential,75,VON WEILLIGH STREET,JOHANNESBURG,220042976,3002630955,63020579,KVA,1,71,13334,0
LPU-Demand  | LV,832,June,2019,502147254,ERF 5161 of JOHANNESBURG,T0IQ0183000000051610000000,Non Residential,75,VON WEILLIGH STREET,JOHANNESBURG,220042976,3002630955,63020579,KWH,2,42864,28299,0
LPU-Demand  | LV,833,June,2019,502147254,ERF 5161 of JOHANNESBURG,T0IQ0183000000051610000000,Non Residential,75,VON WEILLIGH STREET,JOHANNESBURG,220042976,3002630955,63020579,KRH,3,54989,10794,0
LPU-Demand  | LV,834,June,2019,502198332,ERF 11 of NEWTOWN,T0IR0469000000000110000000,Non Residential,111,CARR STREET,NEWTOWN,220043031,3002671389,63034029,KVA,1,149,28075,0
LPU-Demand  | LV,835,June,2019,502198332,ERF 11 of NEWTOWN,T0IR0469000000000110000000,Non Residential,111,CARR STREET,NEWTOWN,220043031,3002671389,63034029,KWH,2,11592,7610,0
LPU-Demand  | LV,836,June,2019,502198332,ERF 11 of NEWTOWN,T0IR0469000000000110000000,Non Residential,111,CARR STREET,NEWTOWN,220043031,3002671389,63034029,KRH,3,942,185,0
LPU-Demand  | LV,837,June,2019,502192732,ERF 138 of NEWTOWN,T0IR0469000000001380000000,Non Residential,54,GWIGWI MRWEBI STREET,NEWTOWN,220043190,3002674517,207701528,KVA,1,70,13104,0
LPU-Demand  | LV,838,June,2019,502192732,ERF 138 of NEWTOWN,T0IR0469000000001380000000,Non Residential,54,GWIGWI MRWEBI STREET,NEWTOWN,220043190,3002674517,207701528,KWH,2,12410,8147,0
LPU-Demand  | LV,839,June,2019,502149646,ERF 174 of NEWTOWN,T0IR0469000000001740000000,Non Residential,90,GWIGWI MRWEBI STREET,NEWTOWN,220043232,3002674536,98453175,KVA,1,70,13147,0
LPU-Demand  | LV,840,June,2019,502149646,ERF 174 of NEWTOWN,T0IR0469000000001740000000,Non Residential,90,GWIGWI MRWEBI STREET,NEWTOWN,220043232,3002674536,98453175,KWH,2,33002,21666,0
LPU-Demand  | LV,841,June,2019,502149646,ERF 174 of NEWTOWN,T0IR0469000000001740000000,Non Residential,90,GWIGWI MRWEBI STREET,NEWTOWN,220043232,3002674536,98453175,KRH,3,5672,1114,0
LPU-Demand  | LV,842,June,2019,503504692,Portion 1 of ERF 454 of NEWTOWN,T0IR0469000000004540000100,Non Residential,57,NTEMI PILISO STREET,NEWTOWN,220043320,3003321634,98370697,KVA,1,826,154752,0
LPU-Demand  | LV,843,June,2019,503504692,Portion 1 of ERF 454 of NEWTOWN,T0IR0469000000004540000100,Non Residential,57,NTEMI PILISO STREET,NEWTOWN,220043320,3003321634,98370697,KWH,2,660026,433307,0
LPU-Demand  | LV,844,June,2019,503504692,Portion 1 of ERF 454 of NEWTOWN,T0IR0469000000004540000100,Non Residential,57,NTEMI PILISO STREET,NEWTOWN,220043320,3003321634,98370697,KRH,3,48610,9542,0
LPU-Demand  | LV,845,June,2019,502196102,ERF 482 of NEWTOWN,T0IR0469000000004820000000,Non Residential,16,NORIA MABASA STREET,NEWTOWN,220043338,3002654206,98368193,KVA,1,70,13104,0
LPU-Demand  | LV,846,June,2019,502196102,ERF 482 of NEWTOWN,T0IR0469000000004820000000,Non Residential,16,NORIA MABASA STREET,NEWTOWN,220043338,3002654206,98368193,KWH,2,3324,2182,0
LPU-Demand  | LV,847,June,2019,502115559,ERF 578 of NEWTOWN,T0IR0469000000005780000000,Non Residential,190,LILLIAN NGOYI STREET,NEWTOWN,220043426,3002654285,63020777,KVA,1,148,27874,0
LPU-Demand  | LV,848,June,2019,502115559,ERF 578 of NEWTOWN,T0IR0469000000005780000000,Non Residential,190,LILLIAN NGOYI STREET,NEWTOWN,220043426,3002654285,63020777,KWH,2,132552,87020,0
LPU-Demand  | MV,849,June,2019,503721739,ERF 586 of NEWTOWN,T0IR0469000000005860000000,Non Residential,1,PRITCHARD STREET,NEWTOWN,220043458,3002668317,96879858,KVA,1,800,139976,0
LPU-Demand  | MV,850,June,2019,503721739,ERF 586 of NEWTOWN,T0IR0469000000005860000000,Non Residential,1,PRITCHARD STREET,NEWTOWN,220043458,3002668317,96879858,KWH,2,386504,237641,0
LPU-Demand  | MV,851,June,2019,503721739,ERF 586 of NEWTOWN,T0IR0469000000005860000000,Non Residential,1,PRITCHARD STREET,NEWTOWN,220043458,3002668317,96879858,KRH,3,48443,9509,0
LPU-Demand  | LV,852,June,2019,502115573,ERF 28 of OPHIRTON,T0IR0491000000000280000000,Non Residential,43,HILLIARD STREET,OPHIRTON,220043666,3002668459,63034867,KVA,1,153,28791,0
LPU-Demand  | LV,853,June,2019,502115573,ERF 28 of OPHIRTON,T0IR0491000000000280000000,Non Residential,43,HILLIARD STREET,OPHIRTON,220043666,3002668459,63034867,KWH,2,58260,38248,0
LPU-Demand  | LV,854,June,2019,502115573,ERF 28 of OPHIRTON,T0IR0491000000000280000000,Non Residential,43,HILLIARD STREET,OPHIRTON,220043666,3002668459,63034867,KRH,3,3475,682,0
LPU-Demand  | LV,855,June,2019,502197142,ERF 203 of OPHIRTON,T0IR0491000000002030000000,Non Residential,27,HAY STREET,OPHIRTON,220043754,3002672124,95680940,KVA,1,117,22050,0
LPU-Demand  | LV,856,June,2019,502197142,ERF 203 of OPHIRTON,T0IR0491000000002030000000,Non Residential,27,HAY STREET,OPHIRTON,220043754,3002672124,95680940,KWH,2,36442,24372,0
LPU-Demand  | LV,857,June,2019,502197142,ERF 203 of OPHIRTON,T0IR0491000000002030000000,Non Residential,27,HAY STREET,OPHIRTON,220043754,3002672124,95680940,KRH,3,3850,756,0
LPU-Demand  | LV,858,June,2019,502195360,Portion 290 of ERF 53 of BRAAMFONTEIN 53-IR,T0IR0000053000000530029000,Vacant Land,,,JOHANNESBURG,220044130,3003519705,63020645,KVA,1,201,37695,0
LPU-Demand  | LV,859,June,2019,502195360,Portion 290 of ERF 53 of BRAAMFONTEIN 53-IR,T0IR0000053000000530029000,Vacant Land,,,JOHANNESBURG,220044130,3003519705,63020645,KWH,2,70777,46711,0
LPU-Demand  | LV,860,June,2019,551854321,ERF 36 of CITY DEEP EXT.1,T0IR0135001000000360000000,Non Residential,7,ANGUS ROAD,CITY DEEP,220044290,3002671157,83834710,KVA,1,110,20592,0
LPU-Demand  | LV,861,June,2019,551854321,ERF 36 of CITY DEEP EXT.1,T0IR0135001000000360000000,Non Residential,7,ANGUS ROAD,CITY DEEP,220044290,3002671157,83834710,KWH,2,18935,12686,0
LPU-Demand  | LV,862,June,2019,504431045,ERF 39 of CITY DEEP EXT.1,T0IR0135001000000390000000,Non Residential,2,MERINO AVENUE,CITY DEEP,220044300,3002671160,63054862,KVA,1,299,56120,0
LPU-Demand  | LV,863,June,2019,504431045,ERF 39 of CITY DEEP EXT.1,T0IR0135001000000390000000,Non Residential,2,MERINO AVENUE,CITY DEEP,220044300,3002671160,63054862,KWH,2,162062,106394,0
LPU-Demand  | LV,864,June,2019,504431045,ERF 39 of CITY DEEP EXT.1,T0IR0135001000000390000000,Non Residential,2,MERINO AVENUE,CITY DEEP,220044300,3002671160,63054862,KRH,3,55076,10812,0
LPU-Demand  | LV,865,June,2019,502262306,ERF 43 of CITY DEEP EXT.1,T0IR0135001000000430000000,Non Residential,32,MERINO AVENUE,CITY DEEP,220044317,3002671167,84368358,KWH,2,1496088,266119,0
LPU-Demand  | LV,866,June,2019,505636158,ERF 70 of CITY DEEP EXT.1,T0IR0135001000000700000000,Non Residential,19,SHORTHORN STREET,CITY DEEP,220044444,3002671234,80395731,KVA,1,278,52191,0
LPU-Demand  | LV,867,June,2019,505636158,ERF 70 of CITY DEEP EXT.1,T0IR0135001000000700000000,Non Residential,19,SHORTHORN STREET,CITY DEEP,220044444,3002671234,80395731,KWH,2,102322,67174,0
LPU-Demand  | LV,868,June,2019,505636158,ERF 70 of CITY DEEP EXT.1,T0IR0135001000000700000000,Non Residential,19,SHORTHORN STREET,CITY DEEP,220044444,3002671234,80395731,KRH,3,24193,4749,0
LPU-Demand  | LV,869,June,2019,502285737,ERF 161 of CITY DEEP EXT.1,T0IR0135001000001610000000,Non Residential,20,MERINO AVENUE,CITY DEEP,220044469,3002676574,80395729,KVA,1,900,168480,0
LPU-Demand  | LV,870,June,2019,502285737,ERF 161 of CITY DEEP EXT.1,T0IR0135001000001610000000,Non Residential,20,MERINO AVENUE,CITY DEEP,220044469,3002676574,80395729,KWH,2,795192,522044,0
LPU-Demand  | LV,871,June,2019,502272551,ERF 164 of CITY DEEP EXT.1,T0IR0135001000001640000000,PSI,11,BONSMARA ROAD,CITY DEEP,220044476,3002671253,99632799,KVA,1,70,13104,0
LPU-Demand  | LV,872,June,2019,502272551,ERF 164 of CITY DEEP EXT.1,T0IR0135001000001640000000,PSI,11,BONSMARA ROAD,CITY DEEP,220044476,3002671253,99632799,KWH,2,52764,34640,0
LPU-Demand  | LV,873,June,2019,502284525,ERF 166 of CITY DEEP EXT.1,T0IR0135001000001660000000,Non Residential,83,MERINO AVENUE,CITY DEEP,220044483,3002671261,98368939,KVA,1,164,30701,0
LPU-Demand  | LV,874,June,2019,502284525,ERF 166 of CITY DEEP EXT.1,T0IR0135001000001660000000,Non Residential,83,MERINO AVENUE,CITY DEEP,220044483,3002671261,98368939,KWH,2,220000,144430,0
LPU-Demand  | LV,875,June,2019,501448555,ERF 215 of CITY DEEP EXT.19,T0IR0135019000002150000000,Non Residential,2,BRIDGE CLOSE,CITY DEEP,220044500,3002671275,98453319,KVA,1,170,31824,0
LPU-Demand  | LV,876,June,2019,501448555,ERF 215 of CITY DEEP EXT.19,T0IR0135019000002150000000,Non Residential,2,BRIDGE CLOSE,CITY DEEP,220044500,3002671275,98453319,KWH,2,144770,95042,0
LPU-Demand  | LV,877,June,2019,500159864,ERF 168 of CITY DEEP EXT.5,T0IR0135005000001680000000,Non Residential,13,HEIDELBERG ROAD,CITY DEEP,220044518,3003536854,63192342,KVA,1,70,13104,0
